id,dataset,role,question,answer,gold_theme,gold_sentiment
g0035,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,está respaldado por ciencia,ingredients_safety,
g0036,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,nada en especial,no_concern,
g0037,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,joint pain,health_goal,
g0038,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Bajar de peso despues del embarazo,health_goal,
g0039,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Colitis,health_goal,
g0040,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Tener más energía en el día,health_goal,
g0041,fragrance_reviews.csv,review,body,Llego rapidisimo y bien empacado,shipping_delivery,Positive
g0042,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,la verdad no se,other,
g0043,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,me gusta apoyar negocios locales,brand_values,
g0044,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Soy alérgica a varias cosas,ingredients_safety,
g0045,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,"Probar algo que sí funcione, ya intenté de todo",efficacy_results,
g0046,fragrance_reviews.csv,review,body,"Vale la pena, buen precio",price_value,Positive
g0047,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Clean ingredients,ingredients_safety,
g0048,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,mejorar mi salud en general,health_goal,
g0049,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no me sirva como a los demás,efficacy_results,
g0050,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,El empaque está muy bonito,design_style,
g0051,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,ninguno 😊.,no_concern,
g0052,fragrance_reviews.csv,review,body,Excelente. Muy buen perfume y súper barato,price_value,Positive
g0053,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Siempre les compro,repeat_loyalty,
g0054,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que mi esposo se enojara jaja,other,
g0055,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Bajar de peso despues del embarazo,health_goal,
g0056,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no funcionaran,efficacy_results,
g0057,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,ya había probado otros y no me sirvieron,efficacy_results,
g0058,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,my friend recommended it,social_proof,
g0059,fragrance_reviews.csv,review,body,"Excelente. great quality, lasts all day",quality,Positive
g0060,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Dormir mejor,health_goal,
g0061,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Mi hermana los usa y le fue muy bien,social_proof,
g0062,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que fuera puro marketing.,efficacy_results,
g0063,fragrance_reviews.csv,review,body,Perfecto,other,Positive
g0064,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Es un regalo para mi mama,other,
g0065,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que fuera una estafa,trust_legitimacy,
g0066,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,ninguno.,no_concern,
g0067,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Clean ingredients,ingredients_safety,
g0068,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,"Probar algo que sí funcione, ya intenté de todo",efficacy_results,
g0069,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Dolor de rodillas,health_goal,
g0070,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que no hiciera efecto,efficacy_results,
g0071,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,mejorar mi salud en general,health_goal,
g0072,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no funcionaran,efficacy_results,
g0073,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Que los ingredientes son naturales,ingredients_safety,
g0074,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que se perdira el paquete,shipping_delivery,
g0075,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,clean ingredients,ingredients_safety,
g0076,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Bjar de peso despues del embarazo,health_goal,
g0077,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Cansancio todo eltiempo,health_goal,
g0078,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que saliera muy caro con el envío,price_value,
g0079,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,"No sé, me llamó la atención",other,
g0080,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Ningno,no_concern,
g0081,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,nada en especial.,no_concern,
g0082,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,That it wouldn't work.,efficacy_results,
g0083,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,ninguna,no_concern,
g0084,fragrance_reviews.csv,review,body,"Excelente. great quality, lasts all day",quality,Positive
g0085,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Por la comunidad que tienen,social_proof,
g0086,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Ninguo.,no_concern,
g0087,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que se perdiera el paquete,shipping_delivery,
g0088,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que no llegara el pedido,shipping_delivery,
g0089,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Esta respaldado por ciencia,ingredients_safety,
g0090,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que no me sirva como a los demás.,efficacy_results,
g0091,fragrance_reviews.csv,review,body,Excelente. Llego rapidisimo y bien empacado,shipping_delivery,Positive
g0092,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,que los ingredientes son naturales,ingredients_safety,
g0093,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que no hiciera efecto.,efficacy_results,
g0094,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que fuera puro marketing,efficacy_results,
g0095,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,my friend recommended it,social_proof,
g0096,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,quiero ver resultados reales esta vez,efficacy_results,
g0097,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no funcionaran,efficacy_results,
g0098,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,no sé,other,
g0099,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,quiero ver resultados reales esta vez,efficacy_results,
g0100,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Tener más energía en el día,health_goal,
g0101,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que fuera puro marketing,efficacy_results,
g0102,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,sigo a la nutriologa en instagram y la recomienda,social_proof,
g0103,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,estaba en promoción,price_value,
g0104,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Resistencia a la insulina,health_goal,
g0105,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",¿Van a resurtir?,stock_availability,
g0106,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,por la comunidad que tienen,social_proof,
g0107,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Es una marca mexicana,brand_values,
g0108,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Se me cae mucho el cabello,health_goal,
g0109,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,A mi prima le dio resultado,efficacy_results,
g0110,fragrance_reviews.csv,review,body,Excelente precio para lo que es,price_value,Positive
g0111,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Porque sí funcionan,efficacy_results,
g0112,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",Tienen tabla de medidas?.,size_fit,
g0113,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,nada en especia.,no_concern,
g0114,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,el precio,price_value,
g0115,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que se perdiera el paquete,shipping_delivery,
g0116,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Ya lo habia comprado antes,repeat_loyalty,
g0117,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no funcionaran,efficacy_results,
g0118,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,curiosidad,other,
g0119,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,El precio,price_value,
g0120,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Tener más energía en el día,health_goal,
g0121,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Acné hrmonal.,health_goal,
g0122,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,El precio,price_value,
g0123,fragrance_reviews.csv,review,body,"me encanto, el aroma se mantiene horas",quality,Positive
g0124,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",Cuando vuelven a tener el pijama azul,stock_availability,
g0125,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Controlar la ansiedad,health_goal,
g0126,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,No se,other,
g0127,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Por las reseñas,social_proof,
g0128,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,controlar la ansiedad,health_goal,
g0129,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,me duelen mucho las articulaciones.,health_goal,
g0130,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Que los ingredientes son naturales,ingredients_safety,
g0131,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",tienen tabla de medidas?,size_fit,
g0132,fragrance_reviews.csv,review,body,"llego antes de lo esperado, gracias",shipping_delivery,Positive
g0133,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,nada en especial,no_concern,
g0134,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Es mi segunda vez,repeat_loyalty,
g0135,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,"Probar algo que si funcione, ya intente de todo",efficacy_results,
g0136,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,efetos secundarios.,ingredients_safety,
g0137,fragrance_reviews.csv,review,body,"Muy buena fijacion, igualito al original.",quality,Positive
g0138,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no funcionaran,efficacy_results,
g0139,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",Cuanto tarda en llegar a Merida,shipping_delivery,
g0140,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,La verdad no se,other,
g0141,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que no hiciera efecto,efficacy_results,
g0142,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Una cmpanera de trabajo los toma,social_proof,
g0143,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,No sé,other,
g0144,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,mejorar mi salud en general.,health_goal,
g0145,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Porque sí funcionan,efficacy_results,
g0146,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que fuera puro marketing,efficacy_results,
g0147,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Ninguno,no_concern,
g0148,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Está respaldad por ciencia,ingredients_safety,
g0149,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Resistencia a la insulina,health_goal,
g0150,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Siempre les compro,repeat_loyalty,
g0151,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no me gustara e sabor,other,
g0152,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,is this brand legit?,trust_legitimacy,
g0153,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,No tiene azucar ni cosas raras,ingredients_safety,
g0154,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",Se puede meter a la secadora?,product_info,
g0155,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,porque sí funcionan,efficacy_results,
g0156,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,tenia 20% de descuento,price_value,
g0157,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que fuera puro marketing,efficacy_results,
g0158,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",Si la talla viene correcta,size_fit,
g0159,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,colitis,health_goal,
g0160,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Vi muchos testimonios,social_proof,
g0161,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que no llegara el pedido,shipping_delivery,
g0162,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Cansancio todo el tiempo,health_goal,
g0163,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,está respaldado por ciencia.,ingredients_safety,
g0164,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Me urgía,other,
g0165,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",¿Van a resurtir?,stock_availability,
g0166,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Me duelen mucho las articulaciones,health_goal,
g0167,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,por la comunidad que tienen,social_proof,
g0168,fragrance_reviews.csv,review,body,"Todo perfecto, el envio muy rapido",shipping_delivery,Positive
g0169,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no me llegara,shipping_delivery,
g0170,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,vi muchos estimonios,social_proof,
g0171,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,se me cae mucho el cabello,health_goal,
g0172,fragrance_reviews.csv,review,body,Mi opinión. buen aroma aunque la fijación es regular,quality,Mixed
g0173,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Es una marca exicana,brand_values,
g0174,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Ya lo habia comprado antes,repeat_loyalty,
g0175,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Ninguno.,no_concern,
g0176,fragrance_reviews.csv,review,body,Me encanta 😍,other,Positive
g0177,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,se me cae mucho el cabello,health_goal,
g0178,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Me duelen mucho las articulaciones,health_goal,
g0179,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Porque sí funcionan,efficacy_results,
g0180,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,I want to sleep better,health_goal,
g0181,fragrance_reviews.csv,review,body,"Me encantó. Me encanto, el aroma se mantiene horas",quality,Positive
g0182,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que mi esposo se enojara jaja,other,
g0183,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Ninguno 😊,no_concern,
g0184,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Sin químicos,ingredients_safety,
g0185,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Dolor de rodillas,health_goal,
g0186,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,"Probar algo que si funcione, ya intente de todo.",efficacy_results,
g0187,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Por la comunidad que tienen,social_proof,
g0188,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no hiciera efecto,efficacy_results,
g0189,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no funcionaran,efficacy_results,
g0190,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,está respaldado por ciencia.,ingredients_safety,
g0191,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que tardara mucho el envío,shipping_delivery,
g0192,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Una compañera de trabajo los tma,social_proof,
g0193,fragrance_reviews.csv,review,body,"Me encantó. Great quality, lasts all day",quality,Positive
g0194,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,dar mis datos de tarjeta en una tienda nueva.,trust_legitimacy,
g0195,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Is this brand legit?,trust_legitimacy,
g0196,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Una companera de trabajo los toma,social_proof,
g0197,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Resistencia a la insulina.,health_goal,
g0198,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Me gusta apoyar negocios locales,brand_values,
g0199,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Ya lo había comprado antes,repeat_loyalty,
g0200,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,porque si,other,
g0201,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,"probar algo que si funcione, ya intente de todo",efficacy_results,
g0202,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que fuera una estafa.,trust_legitimacy,
g0203,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,"No sé, me llamó la atención",other,
g0204,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,joint pain,health_goal,
g0205,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Vi muchos testimonios,social_proof,
g0206,fragrance_reviews.csv,review,body,Huele delicioso y dura muchisimo.,quality,Positive
g0207,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,El tiempo de entrega,shipping_delivery,
g0208,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,la verdad no sé,other,
g0209,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Soy alergica a varias cosas,ingredients_safety,
g0210,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,No tenia ningun miedo,no_concern,
g0211,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Ya había probado otros y no me sirvieron,efficacy_results,
g0212,fragrance_reviews.csv,review,body,Me encanto el perfume pero tardo mucho en llegar.,shipping_delivery,Mixed
